keep,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,Tier,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier2,,,Roster Position
,93784-185640:Dresser Winn,93784-185640,QB,Dresser,Dresser Winn,Winn,,,,6000,SF@LAR,LAR,SF,,,,,,QB
,93784-91468:Chase Garbers,93784-91468,QB,Chase,Chase Garbers,Garbers,,,,6000,LV@BUF,LV,BUF,,,,,,QB
,93784-91511:Holton Ahlers,93784-91511,QB,Holton,Holton Ahlers,Ahlers,,,,6000,SEA@DET,SEA,DET,,,,,,QB
,93784-52606:David Blough,93784-52606,QB,David,David Blough,Blough,,10.28999996,2,6000,SEA@DET,DET,SEA,,,,,,QB
,93784-60840:Jake Browning,93784-60840,QB,Jake,Jake Browning,Browning,,-0.100000001,1,6000,BAL@CIN,CIN,BAL,,,,,,QB
,93784-185773:Nolan Henderson,93784-185773,QB,Nolan,Nolan Henderson,Henderson,,,,6000,BAL@CIN,BAL,CIN,,,,,,QB
,93784-185776:Tyson Bagent,93784-185776,QB,Tyson,Tyson Bagent,Bagent,,,,6000,CHI@TB,CHI,TB,,,,,,QB
x,93784-60858:Christian Kirk,93784-60858,WR,Christian,Christian Kirk,Kirk,3,1.399999976,1,6000,KC@JAC,JAC,KC,,,,,,WR/FLEX
,93784-91639:Jake Fromm,93784-91639,QB,Jake,Jake Fromm,Fromm,,,,6000,WAS@DEN,WAS,DEN,,,,,,QB
,93784-40482:Tim Boyle,93784-40482,QB,Tim,Tim Boyle,Boyle,,-0.879999995,1,6000,NYJ@DAL,NYJ,DAL,,,,,,QB
,93784-30253:Jeff Driskel,93784-30253,QB,Jeff,Jeff Driskel,Driskel,,2.38857133,7,6000,NYG@ARI,ARI,NYG,,,,,,QB
,93784-71242:Jarrett Guarantano,93784-71242,QB,Jarrett,Jarrett Guarantano,Guarantano,,,,6000,WAS@DEN,DEN,WAS,,,,,,QB
,93784-73398:Chris Oladokun,93784-73398,QB,Chris,Chris Oladokun,Oladokun,,,,6000,KC@JAC,KC,JAC,,,,,,QB
,93784-61157:Brett Rypien,93784-61157,QB,Brett,Brett Rypien,Rypien,,5.505000114,4,6000,SF@LAR,LAR,SF,,,,,,QB
,93784-38767:Chris Streveler,93784-38767,QB,Chris,Chris Streveler,Streveler,,9,1,6000,NYJ@DAL,NYJ,DAL,Q,Thumb,,,,QB
,93784-92082:Austin Aune,93784-92082,QB,Austin,Austin Aune,Aune,,,,6000,GB@ATL,ATL,GB,,,,,,QB
,93784-38837:Danny Etling,93784-38837,QB,Danny,Danny Etling,Etling,,,,6000,GB@ATL,GB,ATL,,,,,,QB
,93784-69597:Anthony Brown,93784-69597,QB,Anthony,Anthony Brown,Brown,,3.789999962,2,6000,BAL@CIN,BAL,CIN,,,,,,QB
,93784-63469:Ben DiNucci,93784-63469,QB,Ben,Ben DiNucci,DiNucci,,,,6000,WAS@DEN,DEN,WAS,,,,,,QB
,93784-63484:Kyler Murray,93784-63484,QB,Kyler,Kyler Murray,Murray,,18.86545493,11,6000,NYG@ARI,ARI,NYG,NA,Knee - acl,,,,QB
,93784-89230:Cam Akers,93784-89230,RB,Cam,Cam Akers,Akers,,8.899999619,1,5900,SF@LAR,LAR,SF,,,,,,RB/FLEX
,93784-40167:Gus Edwards,93784-40167,RB,Gus,Gus Edwards,Edwards,,5.199999809,1,5900,BAL@CIN,BAL,CIN,,,,,,RB/FLEX
,93784-52613:Curtis Samuel,93784-52613,WR,Curtis,Curtis Samuel,Samuel,,8.5,1,5900,WAS@DEN,WAS,DEN,,,,,,WR/FLEX
x,93784-53097:Josh Reynolds,93784-53097,WR,Josh,Josh Reynolds,Reynolds,3,10,1,5900,SEA@DET,DET,SEA,,,,,,WR/FLEX
,93784-104433:Kyren Williams,93784-104433,RB,Kyren,Kyren Williams,Williams,,17.39999962,1,5900,SF@LAR,LAR,SF,,,,,,RB/FLEX
,93784-112745:Drake London,93784-112745,WR,Drake,Drake London,London,,0,1,5800,GB@ATL,ATL,GB,,,,,,WR/FLEX
x,93784-129368:Jahmyr Gibbs,93784-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,4,7,1,5800,SEA@DET,DET,SEA,,,,,,RB/FLEX
x,93784-103020:Puka Nacua,93784-103020,WR,Puka,Puka Nacua,Nacua,4,16.89999962,1,5800,SF@LAR,LAR,SF,Q,Oblique,,,,WR/FLEX
,93784-72412:Khalil Herbert,93784-72412,RB,Khalil,Khalil Herbert,Herbert,,9.899999619,1,5800,CHI@TB,CHI,TB,,,,,,RB/FLEX
,93784-29685:Robert Woods,93784-29685,WR,Robert,Robert Woods,Woods,,8.699999809,1,5800,IND@HOU,HOU,IND,,,,,,WR/FLEX
